20101004225712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source :  Medtronic..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cake aux fruits,g,100,,,61.30,,petite tranche de 25g,1,,,15,,,,,,,,,,,,,,,,,,,
Cake salé,g,100,,,40.00,,tranche de 25g,1,,,10,,,,,,,,,,,,,,,,,,,
Calamar frit en beignet,g,100,,,7.00,,portion de 100g,1,,,7,,,,,,,,,,,,,,,,,,,
Calèche (Lu - assortiments de biscuits),g,100,,,62.50,,biscuit (8g),1,,,5,,,,,,,,,,,,,,,,,,,
Canapé salé ou toast salé (pain de mie),g (pain seul),100,,,50.00,,pièce (quart d'une tranche de 20g soit env. 5g hors garniture),1,,,2.5,,portion de 8 petits (env. 60g dont garniture),1,,,20,,,,,,,,,,,,,
Cannelés,g,100,,,60.00,,pièce classique (60g),1,,,36,,pièce lunch (30g),1,,,18,,pièce dite bouchée (17g),100,,,10.2,,,,,,,
Cannelloni à la viande,g,100,,,15.00,,unité de 50g,1,,,8,,portion (150g) de 3,1,,,23,,assiette de 300g,1,,,45,,,,,,,
Cap tain Choc (fourré fraise| chocolat),g,100,,,67.00,,gâteau de 30g,1,,,20,,,,,,,,,,,,,,,,,,,
Câpres| cornichon,g,100,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Carambar,g,100,,,77.00,,unité de 8g,1,,,6.3,,mini de 3.4g,1,,,2.6,,,,,,,,,,,,,
Carambole (étoile - fruit exotique),g,100,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,g (bonbons),100,,,83.00,,bonbon de 6g,1,,,5,,g (nappage type Vahiné),100,,,77,,,,,,,,,,,,,
Caro ,dose pour 1 tasse,1,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,
Carotte,g (crue - râpée),100,,,6.60,,assiette de 200g,1,,,7,,g (cuite),,,,4.3,,assiettte de 200g,100,,,8,,,,,,,
Carpaccio de thon ou saumon,g,100,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Cassis,g,100,,,9.00,,coupelle (200g),1,,,18,,,,,,,,,,,,,,,,,,,
Cassonade,g,100,,,95.00,,,,,,,,,,,,,,,,,,,,,,,,,
Cassoulet,g,100,,,10.00,,assiette de 300g,1,,,30,,boite conserve (400g),1,,,45,,,,,,,,,,,,,
Céleri branche| rave| rémoulade,g,100,,,2.00,,assiette de 200g,1,,,4,,,,,,,,,,,,,,,,,,,
Céréales chocolatée pour petit déjeuner,g,100,,,87.50,,bol de 40g,1,,,35,,,,,,,,,,,,,,,,,,,
Céréales fourrées au chocolat,g,100,,,87.50,,bol de 40g,1,,,35,,,,,,,,,,,,,,,,,,,
Céréales pour petit déjeuner riche en fibres (moyenne),g,100,,,50.00,,bol de 40g,1,,,20,,,,,,,,,,,,,,,,,,,
Céréales sucrées pour petit déjeuner (moyenne),g,100,,,87.50,,bol de 40g,1,,,35,,,,,,,,,,,,,,,,,,,
Cerise des antilles (fruit exotique),g,100,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,
