20091215223527,,,,,,,,,,,,,,,,,,
source used :  Swiss Food Composition Database V2.0 - ETH Zurich & Federal Office of Public Health,,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,,
Brotaufstrich| Mabona minical| Migros,grams,100,270.00,0.00,0.50,30.00,,,,,,,,,,,,
Brunsli,grams,100,456.48,7.65,60.91,22.91,,,,,,,,,,,,
Brüsseler Endivie| roh,grams,100,8.60,1.00,3.20,0.20,,,,,,,,,,,,
Buchweizen| Korn geschält,grams,100,335.85,9.07,74.70,1.73,,,,,,,,,,,,
Buchweizenmehl,grams,100,331.20,12.00,70.70,2.80,,,,,,,,,,,,
Bündner Gerstensuppe,grams,100,40.53,1.36,6.66,0.93,,,,,,,,,,,,
Bürli (Halbweissmehl),grams,100,229.13,8.39,50.06,1.05,,,,,,,,,,,,
Bürli (Ruchmehl),grams,100,224.33,8.61,48.80,1.17,,,,,,,,,,,,
Butterkuchen| Rührteig,grams,100,436.48,6.88,52.50,22.51,,,,,,,,,,,,
Buttermilch,grams,100,33.34,3.20,4.01,0.50,,,,,,,,,,,,
Buttermilchgetränk mit Früchten| gezuckert,grams,100,77.29,2.69,15.77,0.43,,,,,,,,,,,,
Buttermilchgetränk mit Früchten| ungezuckert,grams,100,34.77,3.07,4.62,0.49,,,,,,,,,,,,
Butterzopf,grams,100,300.33,8.74,48.69,8.85,,,,,,,,,,,,
Cake Financier,grams,100,444.61,7.17,54.09,23.10,,,,,,,,,,,,
Camembert| halbfett,grams,100,179.20,22.00,0.30,10.00,,,,,,,,,,,,
Camembert| Rahm,grams,100,352.12,16.40,0.30,31.70,,,,,,,,,,,,
Camembert| vollfett,grams,100,299.41,21.22,0.30,23.70,,,,,,,,,,,,
Cashewnuss,grams,100,571.80,17.50,33.40,42.20,,,,,,,,,,,,
Cervelas,grams,100,258.65,13.10,0.40,22.73,,,,,,,,,,,,
Champignon| roh,grams,100,14.90,2.10,3.00,0.50,,,,,,,,,,,,
Chinakohl| roh,grams,100,11.94,1.07,3.14,0.30,,,,,,,,,,,,
Choc ovo (Ovomaltine)| Wander,grams,100,435.00,11.10,68.70,14.50,,,,,,,,,,,,
Choc ovo chrunchy (Ovomaltine)| Wander,grams,100,452.00,10.80,68.50,16.00,,,,,,,,,,,,
Chräbeli,grams,100,378.52,7.26,83.29,2.56,,,,,,,,,,,,
Colagetränk| gezuckert,grams,100,40.00,0.00,10.00,0.00,,,,,,,,,,,,
Colagetränk| mit Süssungsmitteln,grams,100,0.24,0.02,0.04,0,,,,,,,,,,,,
Coppa,grams,100,314.50,29.30,0.20,21.83,,,,,,,,,,,,
Cornet| Erdbeer (Frucht),grams,100,262.70,4.11,38.87,10.43,,,,,,,,,,,,
Cornet| Schokolade,grams,100,294.08,4.69,40.16,13.42,,,,,,,,,,,,
Cornet| Vanille,grams,100,283.86,4.61,36.61,13.50,,,,,,,,,,,,
Cornflakes (allgemein),grams,100,350.00,7.15,83.00,0.60,,,,,,,,,,,,
Cotechino,grams,100,449.50,17.20,0.00,42.30,,,,,,,,,,,,
Cracker| Salzgebäck| Apérogebäck,grams,100,471.12,9.21,68.28,18.79,,,,,,,,,,,,
Crèmeschnitte,grams,100,279.55,2.58,29.45,16.25,,,,,,,,,,,,
Dattel| getrocknet,grams,100,290.50,2.50,76.10,0.50,,,,,,,,,,,,
Distelöl,grams,100,899.00,0.00,0.00,99.50,,,,,,,,,,,,
Doppelrahm| pasteurisiert,grams,100,424.60,2.10,2.80,45.00,,,,,,,,,,,,
Doppelrahmglace| Schokolade,grams,100,248.66,4.50,24.85,14.95,,,,,,,,,,,,
Doppelrahmglace| Vanille,grams,100,228.80,4.79,22.99,13.03,,,,,,,,,,,,
Doppelrahmkäse,grams,100,364.60,12.00,0.40,35.00,,,,,,,,,,,,
Edelkastanie| frisch,grams,100,170.90,2.48,44.34,1.90,,,,,,,,,,,,
Eierlikör| 16.5 % vol,grams,100,284.80,4.00,28.00,7.00,,,,,,,,,,,,
Eierschwamm| roh,grams,100,11.70,1.60,4.90,0.50,,,,,,,,,,,,
Eisbergsalat| roh,grams,100,12.08,1.00,3.37,0.20,,,,,,,,,,,,
