20091215223110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source :  Swiss Food Composition Database V2.0 - ETH Zurich & Federal Office of Public Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brie| gras,g,100,300.30,21.80,0.40,23.50,,,,,,,,,,,,,,,,,,,,,,,,
Brie| mi-gras,g,100,201.10,24.00,0.40,11.50,,,,,,,,,,,,,,,,,,,,,,,,
Brocoli| cru,g,100,25.20,3.00,5.40,0.40,,,,,,,,,,,,,,,,,,,,,,,,
Brun de Bâle,g,100,456.48,7.65,60.91,22.91,,,,,,,,,,,,,,,,,,,,,,,,
Bürli (farine bise),g,100,224.33,8.61,48.80,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Bürli (farine mi-blanche),g,100,229.13,8.39,50.06,1.05,,,,,,,,,,,,,,,,,,,,,,,,
Cacahuète| grillée,g,100,576.60,25.30,16.80,49.00,,,,,,,,,,,,,,,,,,,,,,,,
Cacao en poudre,g,100,343.06,19.80,43.57,24.50,,,,,,,,,,,,,,,,,,,,,,,,
Café| noir (à boire),g,100,2.09,0.06,0.43,0.01,,,,,,,,,,,,,,,,,,,,,,,,
Cake financier,g,100,444.61,7.17,54.09,23.10,,,,,,,,,,,,,,,,,,,,,,,,
Cake marbré,g,100,388.84,6.12,48.74,19.45,,,,,,,,,,,,,,,,,,,,,,,,
Cake tyrolien,g,100,456.12,8.60,42.53,28.76,,,,,,,,,,,,,,,,,,,,,,,,
Camembert| à la crème,g,100,352.12,16.40,0.30,31.70,,,,,,,,,,,,,,,,,,,,,,,,
Camembert| gras,g,100,299.41,21.22,0.30,23.70,,,,,,,,,,,,,,,,,,,,,,,,
Camembert| mi-gras,g,100,179.20,22.00,0.30,10.00,,,,,,,,,,,,,,,,,,,,,,,,
Caramel mou,g,100,448.00,2.10,71.10,17.20,,,,,,,,,,,,,,,,,,,,,,,,
Caramel mou à la crème,g,100,351.00,0.42,79.28,3.55,,,,,,,,,,,,,,,,,,,,,,,,
Carotte| crue,g,100,32.30,0.80,9.20,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Cassis| frais,g,100,43.90,1.30,16.00,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Céleri branche| cru,g,100,10.50,0.90,3.50,0.10,,,,,,,,,,,,,,,,,,,,,,,,
Céleri-rave| cru,g,100,18.48,1.50,7.40,0.32,,,,,,,,,,,,,,,,,,,,,,,,
